date,bid1,bid2,bid3,bid4,bid5,offer1,offer2,offer3,offer4,offer5
2022-08-19 10:00:00.102866,18.3 | 464.6,18.2 | 976.0,18.1 | 1637.6,18.0 | 854.5,17.9 | 537.6,18.4 | 96.3,18.5 | 929.0,18.6 | 867.0,18.7 | 709.2,18.8 | 1242.1
2022-08-19 10:01:00.147306,18.3 | 572.8,18.2 | 976.2,18.1 | 1639.6,18.0 | 855.5,17.9 | 537.6,18.4 | 613.5,18.5 | 930.0,18.6 | 878.8,18.7 | 737.6,18.8 | 1245.1
2022-08-19 10:02:00.063899,18.3 | 655.4,18.2 | 977.3,18.1 | 1641.2,18.0 | 855.0,17.9 | 538.6,18.4 | 625.8,18.5 | 930.0,18.6 | 905.9,18.7 | 750.8,18.8 | 1453.4
2022-08-19 10:03:00.060931,18.3 | 655.4,18.2 | 980.3,18.1 | 1644.1,18.0 | 860.5,17.9 | 539.6,18.4 | 618.8,18.5 | 953.4,18.6 | 933.3,18.7 | 751.8,18.8 | 1456.5
2022-08-19 10:04:00.061081,18.3 | 660.1,18.2 | 975.3,18.1 | 1654.2,18.0 | 848.5,17.9 | 539.6,18.4 | 612.1,18.5 | 960.4,18.6 | 946.2,18.7 | 753.8,18.8 | 1453.6
2022-08-19 10:05:00.060357,18.3 | 669.1,18.2 | 975.4,18.1 | 1654.2,18.0 | 848.5,17.9 | 559.6,18.4 | 614.7,18.5 | 970.4,18.6 | 946.3,18.7 | 753.8,18.8 | 1554.6
2022-08-19 10:06:00.064583,18.4 | 495.8,18.3 | 713.4,18.2 | 985.9,18.1 | 1654.2,18.0 | 869.3,18.5 | 1232.2,18.6 | 953.5,18.7 | 755.7,18.8 | 1560.6,18.9 | 1546.1
2022-08-19 10:07:00.070245,18.4 | 520.1,18.3 | 744.4,18.2 | 1016.4,18.1 | 1653.4,18.0 | 869.3,18.5 | 1239.3,18.6 | 970.9,18.7 | 766.9,18.8 | 1565.9,18.9 | 1618.1
2022-08-19 10:08:00.066186,18.4 | 558.9,18.3 | 744.4,18.2 | 1016.4,18.1 | 1653.9,18.0 | 869.3,18.5 | 1259.8,18.6 | 972.4,18.7 | 774.7,18.8 | 1584.9,18.9 | 1629.2
2022-08-19 10:09:00.077588,18.4 | 548.4,18.3 | 744.9,18.2 | 1016.4,18.1 | 1653.9,18.0 | 870.3,18.5 | 1238.4,18.6 | 972.9,18.7 | 785.5,18.8 | 1585.9,18.9 | 1631.7
2022-08-19 10:10:00.066398,18.4 | 674.5,18.3 | 944.5,18.2 | 1015.9,18.1 | 1653.9,18.0 | 845.4,18.5 | 1082.0,18.6 | 973.6,18.7 | 860.8,18.8 | 1637.1,18.9 | 1635.9
2022-08-19 10:11:00.051511,18.4 | 679.3,18.3 | 944.5,18.2 | 1015.9,18.1 | 1653.9,18.0 | 845.4,18.5 | 1061.7,18.6 | 976.8,18.7 | 913.3,18.8 | 1682.1,18.9 | 1690.9
2022-08-19 10:12:00.067965,18.4 | 700.3,18.3 | 948.5,18.2 | 1018.9,18.1 | 1623.9,18.0 | 855.4,18.5 | 1077.4,18.6 | 968.3,18.7 | 926.0,18.8 | 1684.1,18.9 | 1690.9
2022-08-19 10:13:00.063733,18.4 | 690.3,18.3 | 1048.6,18.2 | 1020.9,18.1 | 1624.9,18.0 | 844.4,18.5 | 1079.5,18.6 | 958.4,18.7 | 988.2,18.8 | 1690.6,18.9 | 1803.5
2022-08-19 10:14:00.056663,18.4 | 696.8,18.3 | 1048.6,18.2 | 1020.9,18.1 | 1625.9,18.0 | 844.4,18.5 | 1077.6,18.6 | 983.9,18.7 | 988.7,18.8 | 1690.6,18.9 | 1803.5
2022-08-19 10:15:00.063584,18.4 | 696.7,18.3 | 1048.7,18.2 | 1020.9,18.1 | 1627.9,18.0 | 844.4,18.5 | 1079.4,18.6 | 987.9,18.7 | 1036.1,18.8 | 1691.6,18.9 | 1803.5
2022-08-19 10:16:00.061927,18.4 | 623.7,18.3 | 1053.7,18.2 | 1021.9,18.1 | 1627.9,18.0 | 844.4,18.5 | 1329.9,18.6 | 987.1,18.7 | 1037.1,18.8 | 1691.6,18.9 | 1803.5
2022-08-19 10:17:00.060168,18.4 | 659.8,18.3 | 1055.7,18.2 | 1021.9,18.1 | 1627.9,18.0 | 849.4,18.5 | 1091.7,18.6 | 987.9,18.7 | 1052.6,18.8 | 1691.6,18.9 | 1808.6
2022-08-19 10:18:00.067999,18.4 | 635.2,18.3 | 1077.7,18.2 | 1021.9,18.1 | 1627.9,18.0 | 849.4,18.5 | 1307.8,18.6 | 1010.0,18.7 | 1031.6,18.8 | 1695.6,18.9 | 1808.6
2022-08-19 10:19:00.063665,18.3 | 1094.7,18.2 | 1027.9,18.1 | 1627.9,18.0 | 850.4,17.9 | 634.1,18.4 | 414.4,18.5 | 1222.8,18.6 | 1014.5,18.7 | 1021.6,18.8 | 1695.6
2022-08-19 10:20:00.063004,18.3 | 1090.7,18.2 | 1030.9,18.1 | 1627.9,18.0 | 850.4,17.9 | 634.1,18.4 | 712.9,18.5 | 1216.2,18.6 | 1012.9,18.7 | 1025.6,18.8 | 1695.6
2022-08-19 10:21:00.075900,18.3 | 1078.5,18.2 | 1037.4,18.1 | 1637.9,18.0 | 850.4,17.9 | 634.1,18.4 | 721.5,18.5 | 1211.4,18.6 | 1012.6,18.7 | 1025.6,18.8 | 1705.6
2022-08-19 10:22:00.070988,18.3 | 1076.4,18.2 | 1037.4,18.1 | 1640.9,18.0 | 957.4,17.9 | 634.1,18.4 | 481.1,18.5 | 1231.9,18.6 | 1037.6,18.7 | 1046.1,18.8 | 1703.6
2022-08-19 10:23:00.059310,18.3 | 1070.8,18.2 | 1037.4,18.1 | 1641.9,18.0 | 977.4,17.9 | 634.1,18.4 | 518.3,18.5 | 1243.9,18.6 | 1037.6,18.7 | 1046.1,18.8 | 1703.6
2022-08-19 10:24:00.057873,18.3 | 1096.9,18.2 | 1040.0,18.1 | 1641.9,18.0 | 977.4,17.9 | 644.1,18.4 | 501.9,18.5 | 1247.9,18.6 | 1033.1,18.7 | 1046.1,18.8 | 1703.6
2022-08-19 10:25:00.057338,18.3 | 1091.1,18.2 | 1038.4,18.1 | 1645.9,18.0 | 977.4,17.9 | 644.1,18.4 | 511.5,18.5 | 1241.9,18.6 | 1033.1,18.7 | 1046.1,18.8 | 1703.6
2022-08-19 10:26:00.057740,18.3 | 1095.6,18.2 | 1038.5,18.1 | 1645.9,18.0 | 1007.4,17.9 | 644.2,18.4 | 505.5,18.5 | 1248.0,18.6 | 1033.1,18.7 | 1047.6,18.8 | 1699.6
2022-08-19 10:27:00.057773,18.3 | 1095.6,18.2 | 1041.5,18.1 | 1645.6,18.0 | 1007.4,17.9 | 644.2,18.4 | 356.6,18.5 | 1252.5,18.6 | 1033.1,18.7 | 1047.6,18.8 | 1699.6
2022-08-19 10:28:00.064407,18.3 | 1094.4,18.2 | 1041.5,18.1 | 1645.6,18.0 | 1007.4,17.9 | 644.2,18.4 | 356.5,18.5 | 1251.5,18.6 | 1036.1,18.7 | 1047.7,18.8 | 1699.6
2022-08-19 10:29:00.056066,18.3 | 1114.5,18.2 | 1061.5,18.1 | 1665.6,18.0 | 1067.4,17.9 | 674.2,18.4 | 515.9,18.5 | 1253.5,18.6 | 1037.1,18.7 | 1048.2,18.8 | 1700.1
2022-08-19 10:30:00.058862,18.3 | 1108.7,18.2 | 1061.8,18.1 | 1665.7,18.0 | 1070.5,17.9 | 674.2,18.4 | 556.8,18.5 | 1250.0,18.6 | 1037.2,18.7 | 1048.2,18.8 | 1700.1
2022-08-19 10:31:00.061038,18.3 | 1112.0,18.2 | 1061.8,18.1 | 1665.7,18.0 | 1070.5,17.9 | 674.3,18.4 | 647.0,18.5 | 1256.0,18.6 | 1099.2,18.7 | 1048.2,18.8 | 1705.1
2022-08-19 10:32:00.060092,18.3 | 1110.5,18.2 | 1061.7,18.1 | 1666.0,18.0 | 1070.7,17.9 | 674.3,18.4 | 667.3,18.5 | 1250.2,18.6 | 1102.2,18.7 | 1044.2,18.8 | 1705.1
2022-08-19 10:33:00.070596,18.3 | 1113.0,18.2 | 1061.7,18.1 | 1661.7,18.0 | 1070.7,17.9 | 674.3,18.4 | 667.5,18.5 | 1251.0,18.6 | 1101.7,18.7 | 1044.2,18.8 | 1738.1
2022-08-19 10:34:00.056470,18.3 | 1111.9,18.2 | 1061.8,18.1 | 1661.6,18.0 | 1073.7,17.9 | 674.2,18.4 | 643.9,18.5 | 1251.4,18.6 | 1101.7,18.7 | 1044.2,18.8 | 1738.1
